Name	mmX(row1)	mmY(row1)	mmZ(row1)	mmX(row2)	mmY(row2)	mmZ(row2)	mmX(row3)	mmY(row3)	mmZ(row3)	mmX(row4)	mmY(row4)	mmZ(row4)	mmX(row5)	mmY(row5)	mmZ(row5)	mmX(row6)	mmY(row6)	mmZ(row6)	mmX(row7)	mmY(row7)	mmZ(row7)	mmX(row8)	mmY(row8)	mmZ(row8)	mmX(row9)	mmY(row9)	mmZ(row9)	mmX(row10)	mmY(row10)	mmZ(row10)	mmX(row11)	mmY(row11)	mmZ(row11)	mmX(row12)	mmY(row12)	mmZ(row12)	mmX(row13)	mmY(row13)	mmZ(row13)	mmX(row14)	mmY(row14)	mmZ(row14)	mmX(row15)	mmY(row15)	mmZ(row15)	mmX(row16)	mmY(row16)	mmZ(row16)
E4SA019.csv	-114.7529	-33.38967	-312.3	-103.2393	-17.27054	-327.6	-96.33107	-14.9678	-343.8	-34.15725	-19.57327	-399.6	-20.34085	-19.57327	-402.3	-0.383821	-20.34085	-406.8	13.43258	-19.57327	-403.2	81.74702	-17.27054	-355.5	87.88765	-18.80569	-341.1	105.5419	-37.22757	-322.2	39.53023	103.2392	-289.8	45.67086	97.09859	-298.8	47.9736	90.19038	-313.2	-51.04397	91.72554	-309.6	-49.50881	97.86616	-296.1	-37.99514	104.7744	-288
E4SA020.csv	-149.6547	-17.22656	-359.65	-130.6703	-2.460938	-366.85	-112.3891	-0.351562	-380.35	-43.48281	-22.14844	-432.55	-23.09219	-19.33594	-431.65	-9.732813	-19.33594	-431.65	9.251562	-23.55469	-428.05	81.67344	-11.60156	-376.75	94.32969	-12.30469	-363.25	116.1266	-31.28906	-349.75	23.31406	106.5234	-320.05	31.75156	100.1953	-332.65	38.07969	95.97656	-345.25	-58.24844	103.7109	-347.05	-54.73281	105.1172	-332.65	-45.59219	111.4453	-320.05
E4SA021.csv	-90.95042	-26.20748	-344.75	-77.94261	-11.75436	-347.45	-64.9348	-13.19967	-364.55	10.22142	-24.03951	-414.95	23.95189	-27.65279	-411.35	41.29563	-27.65279	-413.15	55.02609	-27.65279	-410.45	130.1823	-21.87154	-368.15	135.2409	-23.31685	-347.45	153.3073	-44.27388	-333.95	78.87374	103.1479	-303.35	85.37765	97.3667	-312.35	85.37765	92.3081	-324.05	-12.18092	98.81201	-334.85	-6.399667	105.3159	-326.75	-0.618419	111.8198	-316.85
E4SA022.csv	-97.05511	0.945641	-240.6	-84.2387	14.51595	-246	-75.19183	17.53157	-259.5	-12.61763	0.191735	-312.6	5.476111	-3.577795	-315.3	26.58548	-8.101231	-316.2	42.4175	-5.085607	-309.9	99.71436	-6.593419	-246.9	108.7612	-11.87076	-234.3	117.8081	-29.2106	-230.7	67.2964	105.7386	-187.5	70.31203	104.2308	-203.7	66.5425	107.2464	-210	-19.40279	111.0159	-219	-17.89498	111.7698	-210.9	-11.10982	115.5394	-192
E4SA023.csv	-117.7793	-44.8769	-321.5	-104.0332	-32.74799	-331.4	-96.75583	-27.89643	-345.8	-22.36518	-50.53706	-399.8	-10.23627	-53.77144	-403.4	0.275451	-55.38863	-405.2	12.40436	-56.19722	-400.7	93.26376	-41.64253	-352.1	102.9669	-47.30268	-335	116.713	-61.04878	-327.8	50.40828	60.24032	-274.7	56.06844	54.58016	-287.3	52.02547	51.34578	-305.3	-49.85738	51.34578	-302.6	-49.04878	57.81453	-285.5	-37.72847	63.47469	-273.8
E4SA024.csv	-106.4712	-45.37119	-484.5	-98.58054	-33.53526	-493.3	-85.95556	-28.80089	-514.1	-22.83059	-35.90245	-571.7	-7.838417	-36.69151	-568.5	14.25532	-38.26963	-567.7	30.82562	-34.32433	-568.5	81.32559	-27.22277	-507.7	89.21621	-30.37901	-484.5	99.47401	-46.16025	-466.9	39.5053	95.8709	-442.1	40.29436	91.9256	-457.3	42.66155	87.98029	-481.3	-44.13527	90.34747	-489.3	-46.50246	91.13654	-469.3	-50.44776	96.65997	-450.1
E4SA025.csv	-117.8525	-17.24152	-284.15	-107.6044	-4.198545	-296.75	-98.28803	-5.130186	-311.15	-30.27824	-21.89972	-349.85	-9.782134	-28.42121	-354.35	13.50889	-29.35285	-353.45	30.27843	-31.21613	-347.15	100.1515	-47.05403	-304.85	107.6046	-47.98567	-287.75	111.3312	-62.89193	-275.15	75.92884	74.0593	-233.75	74.9972	77.78587	-254.45	73.13391	72.19601	-273.35	-25.62003	88.96555	-276.95	-17.23526	95.48704	-260.75	-21.89347	97.35033	-245.45
E4SA026.csv	-95.35156	-59.77344	-102.95	-88.32031	-48.52344	-115.75	-81.99219	-47.11719	-130.15	-3.242188	-66.10156	-183.75	13.63281	-64.69531	-178.95	39.64844	-66.10156	-179.75	50.89844	-68.21094	-185.35	129.6484	-52.03906	-120.55	133.1641	-55.55469	-104.55	136.6797	-67.50781	-85.35	63.55469	70.30469	-90.15	68.47656	59.05469	-104.55	71.28906	49.91406	-115.75	-29.96094	54.83594	-116.55	-27.14844	65.38281	-106.15	-20.82031	73.11719	-95.75
E4SA027.csv	-115.6641	-21.44531	-310.8	-104.4141	-8.085938	-318.9	-92.46094	1.054688	-333.3	-24.96094	-8.085938	-386.4	-7.382812	-13.71094	-388.2	5.976562	-16.52344	-388.2	20.03906	-13.00781	-384.6	86.13281	-8.789062	-335.1	90.35156	-11.60156	-320.7	103.0078	-35.50781	-304.5	62.22656	103.0078	-268.5	63.63281	95.97656	-286.5	58.71094	93.86719	-300.9	-44.64844	98.08594	-295.5	-41.83594	99.49219	-285.6	-40.42969	107.2266	-274.8
E4SA028.csv	-118.2861	-29.13772	-279.45	-108.3252	-18.34671	-292.05	-95.04396	-11.70608	-311.85	-31.95803	-21.66702	-374.85	-17.01663	-27.47757	-377.55	-2.905305	-27.47757	-373.05	9.545865	-22.4971	-375.75	82.59273	-15.0264	-322.65	90.89351	-15.85647	-306.45	101.6845	-32.45804	-287.55	53.54	106.165	-243.45	50.21969	106.9951	-256.95	48.55953	104.5048	-271.35	-53.54006	102.8447	-269.55	-55.20022	97.86421	-256.95	-52.70998	111.1455	-238.05
